coverage_id,discovery_row_id,discovery_status,scope_decision,device_type_name,device_type_id,related_device_type,relation_type,relationship_origin,endpoint_requirement,cluster_name,cluster_id,server_client_role,requirement,feature_condition,specification_path,specification_revision,device_type_definition_path,device_type_revision,sdk_definition_path,sdk_revision,documentation_path,documentation_kind,implementation_path,implementation_scope,implementation_revision,idl_path,idl_scope,example_device_server_endpoints,evidence_location,status,relation_status,specification_status,sdk_status,implementation_status,documentation_status,idl_status,revision_comparison,documentation_search_scope,resolution,commit_sha,data_model_version,notes,example_cluster_revision,example_device_revision,example_implementation_path,example_implementation_scope
C001,D001,present,include,Refrigerator,0x0070,Temperature Controlled Cabinet:0x0071,requires_cluster,direct,server on endpoint implementing this Device Type; conditional support retained,Identify,0x0003,server,optional,optionalConform,data_model/1.7/clusters/Identify.xml,6,data_model/1.7/device_types/Refrigerator.xml,3,src/app/zap-templates/zcl/data-model/chip/identify-cluster.xml,6,src/app/clusters/identify-server/README.md,cluster_implementation_guide,src/app/clusters/identify-server/IdentifyCluster.cpp,cluster_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/chef/devices/rootnode_refrigerator_temperaturecontrolledcabinet_temperaturecontrolledcabinet_ffdb696680.matter,device_example,unverified,"[{""path"":""data_model/1.7/device_types/Refrigerator.xml"",""line"":75},{""path"":""data_model/1.7/clusters/Identify.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/identify-cluster.xml"",""selector"":""/configurator/cluster[code=0x0003]/globalAttribute[@code=0xFFFD]""}]",present,present,present,present,present,present,present,same_declared_value_only,[],Retained verified coverage,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.,6,1,not_applicable,not_applicable
C002,D002,present,include,Refrigerator,0x0070,Temperature Controlled Cabinet:0x0071,requires_cluster,direct,server on endpoint implementing this Device Type; conditional support retained,Refrigerator And Temperature Controlled Cabinet Mode,0x0052,server,optional,"optionalConform; features(feature(code=DEPONOFF,disallowConform)); attributes(attribute(code=0x0002,name=StartUpMode,disallowConform))",data_model/1.7/clusters/Mode_Refrigerator.xml,4,data_model/1.7/device_types/Refrigerator.xml,3,src/app/zap-templates/zcl/data-model/chip/refrigerator-and-temperature-controlled-cabinet-mode-cluster.xml,4,src/app/clusters/mode-base-server/README.md,cluster_implementation_guide,src/app/clusters/mode-base-server/ModeBaseCluster.cpp,framework_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/chef/devices/rootnode_refrigerator_temperaturecontrolledcabinet_temperaturecontrolledcabinet_ffdb696680.matter,device_example,1,"[{""path"":""data_model/1.7/device_types/Refrigerator.xml"",""line"":78},{""path"":""data_model/1.7/clusters/Mode_Refrigerator.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/refrigerator-and-temperature-controlled-cabinet-mode-cluster.xml"",""selector"":""/configurator/cluster[code=0x0052]/globalAttribute[@code=0xFFFD]""}]",present,present,present,present,present,present,present,same_declared_value_only,[],Retained verified coverage,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.; Shared Mode Base; source/app alias evidence in mode-base-cluster-objects.h.,4,1,not_applicable,not_applicable
C003,D003,present,include,Refrigerator,0x0070,Temperature Controlled Cabinet:0x0071,requires_cluster,direct,server on endpoint implementing this Device Type; conditional support retained,Refrigerator Alarm,0x0057,server,optional,optionalConform,data_model/1.7/clusters/RefrigeratorAlarm.xml,1,data_model/1.7/device_types/Refrigerator.xml,3,src/app/zap-templates/zcl/data-model/chip/refrigerator-alarm.xml,1,src/app/clusters/alarm-base-server/README.md,shared_base_guide,src/app/clusters/refrigerator-alarm-server/RefrigeratorAlarmCluster.cpp,cluster_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/chef/devices/rootnode_refrigerator_temperaturecontrolledcabinet_temperaturecontrolledcabinet_ffdb696680.matter,device_example,1,"[{""path"":""data_model/1.7/device_types/Refrigerator.xml"",""line"":91},{""path"":""data_model/1.7/clusters/RefrigeratorAlarm.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/refrigerator-alarm.xml"",""selector"":""/configurator/cluster[code=0x0057]/globalAttribute[@code=0xFFFD]""}]",present,present,present,present,present,present,present,same_declared_value_only,[],Retained verified coverage,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.,1,1,not_applicable,not_applicable
C004,D004,present,include,Refrigerator,0x0070,Temperature Controlled Cabinet:0x0071,requires_cluster,direct,server on endpoint implementing this Device Type; conditional support retained,Activated Carbon Filter Monitoring,0x0072,server,optional (conditional),"optionalConform(greaterOrEqualTerm(revision(value=current),revision(value=3)))",data_model/1.7/clusters/ResourceMonitoring.xml,2,data_model/1.7/device_types/Refrigerator.xml,3,src/app/zap-templates/zcl/data-model/chip/resource-monitoring-cluster.xml,1,src/app/clusters/resource-monitoring-server/README.md,cluster_implementation_guide,src/app/clusters/resource-monitoring-server/ResourceMonitoringCluster.cpp,framework_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/all-clusters-app/all-clusters-common/all-clusters-app.matter,generic_all_clusters,unverified,"[{""path"":""data_model/1.7/device_types/Refrigerator.xml"",""line"":94},{""path"":""data_model/1.7/clusters/ResourceMonitoring.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/resource-monitoring-cluster.xml"",""selector"":""/configurator/cluster[code=0x0072]/globalAttribute[@code=0xFFFD]""}]",present,present,present,present,present,present,present,different_declared_values,[],Retained verified coverage,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.,1,not_applicable,not_applicable,not_applicable
C005,D005,unverified,include,Refrigerator,0x0070,Temperature Controlled Cabinet:0x0071,requires_cluster,base,server on endpoint implementing this Device Type; conditional support retained,Descriptor,0x001D,server,required,"mandatoryConform; features(feature(code=TAGLIST,mandatoryConform(condition(name=Duplicate))))",data_model/1.7/clusters/Descriptor-Cluster.xml,3,data_model/1.7/device_types/Refrigerator.xml,3,src/app/zap-templates/zcl/data-model/chip/descriptor-cluster.xml,3,unverified,unverified,src/app/clusters/descriptor/DescriptorCluster.cpp,cluster_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/chef/devices/rootnode_refrigerator_temperaturecontrolledcabinet_temperaturecontrolledcabinet_ffdb696680.matter,device_example,1,"[{""path"":""data_model/1.7/device_types/BaseDeviceType.xml"",""line"":92},{""path"":""data_model/1.7/clusters/Descriptor-Cluster.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/descriptor-cluster.xml"",""selector"":""/configurator/cluster[code=0x001D]/globalAttribute[@code=0xFFFD]""}]",missing,present,present,present,present,missing,present,same_declared_value_only,"[""src/app/clusters/descriptor/*.md""]",Verified primary mapping; bounded documentation/SDK absence recorded,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,"Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.; No standalone component Markdown guide in this exact directory; broader prose availability not asserted. Embedded API comments are implementation content.; Inherited through BaseDeviceType; conditional Binding retained, not forced enabled.",3,1,not_applicable,not_applicable
C006,D006,present,include,Refrigerator,0x0070,Temperature Controlled Cabinet:0x0071,requires_cluster,base,server on endpoint implementing this Device Type; conditional support retained,Binding,0x001E,server,required (conditional),"mandatoryConform(andTerm(condition(name=Simple),condition(name=Client)))",data_model/1.7/clusters/Binding-Cluster.xml,1,data_model/1.7/device_types/Refrigerator.xml,3,src/app/zap-templates/zcl/data-model/chip/binding-cluster.xml,1,src/app/clusters/bindings/README.md,cluster_implementation_guide,src/app/clusters/bindings/BindingCluster.cpp,cluster_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/all-clusters-app/all-clusters-common/all-clusters-app.matter,generic_all_clusters,unverified,"[{""path"":""data_model/1.7/device_types/BaseDeviceType.xml"",""line"":102},{""path"":""data_model/1.7/clusters/Binding-Cluster.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/binding-cluster.xml"",""selector"":""/configurator/cluster[code=0x001E]/globalAttribute[@code=0xFFFD]""}]",present,present,present,present,present,present,present,same_declared_value_only,[],Retained verified coverage,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,"Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.; Inherited through BaseDeviceType; conditional Binding retained, not forced enabled.",1,not_applicable,not_applicable,not_applicable
C007,D007,unverified,include,Refrigerator,0x0070,Temperature Controlled Cabinet:0x0071,requires_cluster,base,server on endpoint implementing this Device Type; conditional support retained,Fixed Label,0x0040,server,optional,optionalConform,data_model/1.7/clusters/FixedLabel-Cluster.xml,1,data_model/1.7/device_types/Refrigerator.xml,3,src/app/zap-templates/zcl/data-model/chip/fixed-label-cluster.xml,1,unverified,unverified,src/app/clusters/fixed-label-server/FixedLabelCluster.cpp,cluster_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/all-clusters-app/all-clusters-common/all-clusters-app.matter,generic_all_clusters,unverified,"[{""path"":""data_model/1.7/device_types/BaseDeviceType.xml"",""line"":110},{""path"":""data_model/1.7/clusters/FixedLabel-Cluster.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/fixed-label-cluster.xml"",""selector"":""/configurator/cluster[code=0x0040]/globalAttribute[@code=0xFFFD]""}]",missing,present,present,present,present,missing,present,same_declared_value_only,"[""src/app/clusters/fixed-label-server/*.md""]",Verified primary mapping; bounded documentation/SDK absence recorded,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,"Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.; No standalone component Markdown guide in this exact directory; broader prose availability not asserted. Embedded API comments are implementation content.; Inherited through BaseDeviceType; conditional Binding retained, not forced enabled.",1,not_applicable,not_applicable,not_applicable
C008,D008,unverified,include,Refrigerator,0x0070,Temperature Controlled Cabinet:0x0071,requires_cluster,base,server on endpoint implementing this Device Type; conditional support retained,User Label,0x0041,server,optional,optionalConform,data_model/1.7/clusters/UserLabel-Cluster.xml,1,data_model/1.7/device_types/Refrigerator.xml,3,src/app/zap-templates/zcl/data-model/chip/user-label-cluster.xml,1,unverified,unverified,src/app/clusters/user-label-server/UserLabelCluster.cpp,cluster_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/all-clusters-app/all-clusters-common/all-clusters-app.matter,generic_all_clusters,unverified,"[{""path"":""data_model/1.7/device_types/BaseDeviceType.xml"",""line"":113},{""path"":""data_model/1.7/clusters/UserLabel-Cluster.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/user-label-cluster.xml"",""selector"":""/configurator/cluster[code=0x0041]/globalAttribute[@code=0xFFFD]""}]",missing,present,present,present,present,missing,present,same_declared_value_only,"[""src/app/clusters/user-label-server/*.md""]",Verified primary mapping; bounded documentation/SDK absence recorded,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,"Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.; No standalone component Markdown guide in this exact directory; broader prose availability not asserted. Embedded API comments are implementation content.; Inherited through BaseDeviceType; conditional Binding retained, not forced enabled.",1,not_applicable,not_applicable,not_applicable
C009,D009,present,include,Room Air Conditioner,0x0072,not_applicable,requires_cluster,direct,server on endpoint implementing this Device Type; conditional support retained,Identify,0x0003,server,required,mandatoryConform,data_model/1.7/clusters/Identify.xml,6,data_model/1.7/device_types/RoomAirConditioner.xml,5,src/app/zap-templates/zcl/data-model/chip/identify-cluster.xml,6,src/app/clusters/identify-server/README.md,cluster_implementation_guide,src/app/clusters/identify-server/IdentifyCluster.cpp,cluster_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/chef/devices/rootnode_roomairconditioner_9cf3607804.matter,device_example,1,"[{""path"":""data_model/1.7/device_types/RoomAirConditioner.xml"",""line"":77},{""path"":""data_model/1.7/clusters/Identify.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/identify-cluster.xml"",""selector"":""/configurator/cluster[code=0x0003]/globalAttribute[@code=0xFFFD]""}]",present,present,present,present,present,present,present,same_declared_value_only,[],Retained verified coverage,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.,6,5,not_applicable,not_applicable
C010,D010,unverified,include,Room Air Conditioner,0x0072,not_applicable,requires_cluster,direct,server on endpoint implementing this Device Type; conditional support retained,Groups,0x0004,server,optional,optionalConform,data_model/1.7/clusters/Groups.xml,5,data_model/1.7/device_types/RoomAirConditioner.xml,5,src/app/zap-templates/zcl/data-model/chip/groups-cluster.xml,5,unverified,unverified,src/app/clusters/groups-server/GroupsClusterImpl.cpp,cluster_shared,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,examples/chef/devices/rootnode_roomairconditioner_9cf3607804.matter,device_example,1,"[{""path"":""data_model/1.7/device_types/RoomAirConditioner.xml"",""line"":80},{""path"":""data_model/1.7/clusters/Groups.xml"",""selector"":""/cluster/@revision and clusterIds""},{""path"":""src/app/zap-templates/zcl/data-model/chip/groups-cluster.xml"",""selector"":""/configurator/cluster[code=0x0004]/globalAttribute[@code=0xFFFD]""}]",missing,present,present,present,present,missing,present,same_declared_value_only,"[""src/app/clusters/groups-server/*.md""]",Verified primary mapping; bounded documentation/SDK absence recorded,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,1.7,Existence/coverage status only; runtime conformance and semantic revision equivalence are not asserted.; No standalone component Markdown guide in this exact directory; broader prose availability not asserted. Embedded API comments are implementation content.,5,5,not_applicable,not_applicable
